date,lowest_price,median_price,highest_price
2019-08-30,23.8,54.24,55.0
2019-08-31,23.8,54.24,55.0
2019-09-01,23.8,54.24,55.0
2019-09-02,23.8,54.24,55.0
2019-09-03,23.8,54.24,55.0
2019-09-04,23.8,54.24,55.0
2019-09-05,23.8,54.24,55.0
2019-09-06,23.8,54.24,55.0
2019-09-07,23.8,54.24,55.0
2019-09-08,23.8,54.24,55.0
2019-09-09,23.8,54.24,55.0
2019-09-10,23.8,54.24,55.0
2019-09-11,23.8,54.24,55.0
2019-09-12,23.8,54.24,55.0
2019-09-13,23.8,54.24,55.0
2019-09-14,23.8,54.24,55.0
2019-09-15,23.8,54.24,55.0
2019-09-16,23.8,54.24,55.0
2019-09-17,23.8,54.24,55.0
2019-09-18,23.8,54.24,55.0
2019-09-19,23.8,54.24,55.0
2019-09-20,23.8,54.24,55.0
2019-09-21,23.8,54.24,55.0
2019-09-22,23.8,54.24,55.0
2019-09-23,23.8,54.24,55.0
2019-09-24,23.8,54.24,55.0
2019-09-25,23.8,54.24,55.0
2019-09-26,23.8,54.24,55.0
2019-09-27,23.8,54.24,55.0
2019-09-28,23.8,54.24,55.0
2019-09-29,23.8,54.24,55.0
2019-09-30,23.8,54.24,55.0
2019-10-01,23.8,54.24,55.0
2019-10-02,23.8,54.24,55.0
2019-10-03,23.8,54.24,55.0
2019-10-04,23.8,54.24,55.0
2019-10-05,23.8,54.24,55.0
2019-10-06,23.8,54.24,55.0
2019-10-07,23.8,54.24,55.0
2019-10-08,23.8,54.24,55.0
2019-10-09,23.8,54.24,55.0
2019-10-10,23.8,54.24,55.0
2019-10-11,23.8,54.24,55.0
2019-10-12,23.8,54.24,55.0
2019-10-13,23.8,54.24,55.0
2019-10-14,23.8,54.24,55.0
2019-10-15,23.8,54.24,55.0
2019-10-16,23.8,54.24,55.0
2019-10-17,23.8,54.24,55.0
2019-10-18,23.8,54.24,55.0
2019-10-19,23.8,54.24,55.0
2019-10-20,23.8,54.24,55.0
2019-10-21,23.8,54.24,55.0
2019-10-22,23.8,54.24,55.0
2019-10-23,23.8,54.24,55.0
2019-10-24,23.8,54.24,55.0
2019-10-25,23.8,54.24,55.0
2019-10-26,23.8,54.24,55.0
2019-10-27,23.8,54.24,55.0
2019-10-28,23.8,54.24,55.0
2019-10-29,23.8,54.24,55.0
2019-10-30,23.8,54.24,55.0
2019-10-31,23.8,54.24,55.0
2019-11-01,23.8,54.24,55.0
2019-11-02,23.8,54.24,55.0
2019-11-03,23.8,54.24,55.0
2019-11-04,23.8,54.24,55.0
2019-11-05,23.8,54.24,55.0
2019-11-06,23.8,54.24,55.0
2019-11-07,23.8,54.24,55.0
2019-11-08,23.8,54.24,55.0
2019-11-09,23.8,54.24,55.0
2019-11-10,23.8,54.24,55.0
2019-11-11,23.8,54.24,55.0
2019-11-12,23.8,54.24,55.0
2019-11-13,23.8,54.24,55.0
2019-11-14,23.8,54.24,55.0
2019-11-15,23.8,54.24,55.0
